"1","4040723473","9784040723471","","","いま読んでる","","","","2022-07-04 08:56:13","","ザ・ビデオ・ゲーム・ウィズ・ノーネーム","赤野工作","KADOKAWA","2017","本","480"
"1","404605168X","9784046051684","","","読み終わった","","","","2022-07-04 08:57:19","2022-10-30 01:30:05","奇書の世界史2 歴史を動かす“もっとヤバい書物”の物語","三崎律日","KADOKAWA","2022","本","272"
"1","4103364726","9784103364726","","","読み終わった","","","","2022-07-04 08:59:37","2024-08-31 22:56:25","「全世界史」講義 教養に効く!人類5000年史 古代・中世編 (I)","出口治明","新潮社","2016","本","384"
"1","4152100206","9784152100207","","","読み終わった","","","","2022-07-04 15:21:56","2023-05-25 17:13:28","三体3 死神永生 上","劉慈欣","早川書房","2021","本","432"
"1","4152100214","9784152100214","","","読み終わった","","","","2022-07-04 15:21:57","2023-08-02 17:39:25","三体3 死神永生 下","劉慈欣","早川書房","2021","本","448"
"1","B09QKS3KB4","","","","読み終わった","","","","2022-07-04 15:27:44","2022-11-07 20:26:34","サラバ　上・中・下巻　合本版 (小学館文庫)","西加奈子","小学館","2022","電子書籍","733"
"1","B009GXM2OE","","","","読み終わった","","","","2022-07-26 01:37:09","2022-11-05 11:32:11","スティーブ・ジョブズ　II","ウォルター・アイザックソン","講談社","2011","電子書籍","431"
"1","B0B6BR15YV","","","","読み終わった","","","","2022-09-03 11:00:29","2022-09-03 11:00:29","【閲覧注意】ネットの怖い話　クリーピーパスタ (ハヤカワ文庫NV)","倉田 真木","早川書房","2022","電子書籍","242"
"1","B0798Q4DCD","","","","読み終わった","","","","2022-09-11 02:51:58","2022-09-11 02:51:58","ストーカー (ハヤカワ文庫SF)","アルカジイ ストルガツキイ","早川書房","1983","電子書籍","282"
"1","B09FXTPLQH","","","","読み終わった","","","","2022-09-11 02:52:24","2022-09-11 02:52:24","時間の王","宝樹","早川書房","2021","電子書籍","349"
"1","B08NDV7SPQ","","","","読み終わった","","","","2022-09-26 11:03:50","2022-09-26 11:03:50","人工知能で10億ゲットする完全犯罪マニュアル (ハヤカワ文庫JA)","竹田 人造","早川書房","2020","電子書籍","312"
"1","B01LYMTJ0M","","","","読み終わった","","","","2022-09-26 22:22:47","2022-09-26 22:22:47","誰が音楽をタダにした？　巨大産業をぶっ潰した男たち (早川書房)","スティーヴン ウィット","早川書房","2016","電子書籍","345"
"1","B07WKL2XGN","","","","読み終わった","","","","2022-09-27 13:37:18","2022-09-27 13:37:18","いざ、しゃべります。 (メディアワークス文庫)","並木 飛暁","KADOKAWA","2019","電子書籍","216"
"1","4863113412","9784863113411","","","読み終わった","","","","2022-09-28 10:06:44","2022-09-28 10:06:44","SF作家の地球旅行記","柞刈湯葉","産業編集センター","2022","本",""
"1","B09NVJYF7L","","","","読み終わった","","","","2022-09-28 10:07:20","2022-09-28 10:07:20","「ぴえん」という病　ＳＮＳ世代の消費と承認","佐々木 チワワ","扶桑社","2021","電子書籍","164"
"1","4344405137","9784344405134","","","読み終わった","","","","2022-09-28 20:02:48","2022-09-28 20:02:48","リアル鬼ごっこ (幻冬舎文庫)","山田悠介","幻冬舎","2004","本","310"
"1","B0BC98NQ1W","","","","読み終わった","","","","2022-09-28 20:03:03","2022-09-28 20:03:03","この部屋から東京タワーは永遠に見えない (集英社単行本)","麻布競馬場","集英社","2022","電子書籍","156"
"1","4101216525","9784101216522","","","読み終わった","","","","2022-09-28 21:10:38","2022-09-28 21:10:38","動物たちのまーまー (新潮文庫)","一條次郎","新潮社","2020","本","336"
"1","410124054X","9784101240541","","","読み終わった","","","","2022-10-05 08:55:38","2022-10-05 08:55:38","風の海 迷宮の岸  十二国記 (新潮文庫)","小野不由美","新潮社","2012","本","400"
"1","4396614373","9784396614379","","","読み終わった","","","","2022-10-07 18:44:21","2022-10-07 18:44:21","ヘンな日本美術史","山口晃","祥伝社","2012","本",""
"1","B094J4SV1T","","","","読み終わった","","","","2022-10-14 17:37:35","2022-10-14 17:37:35","あやしい遊園地　奇妙で愉快なショートショート集 (講談社文庫)","江坂遊","講談社","1996","電子書籍","381"
"1","B009DEMC8W","","","","読み終わった","","","","2022-10-17 23:51:07","2022-10-17 23:51:07","一九八四年 (ハヤカワepi文庫)","ジョージ・オーウェル","早川書房","2009","電子書籍","450"
"1","B0727N8Z8Q","","","","読み終わった","","","","2022-10-22 22:30:52","2022-10-22 22:30:52","さあ、気ちがいになりなさい (ハヤカワ文庫SF)","フレドリック ブラウン","早川書房","2016","電子書籍","298"
"1","B00NFHZL9K","","","","読み終わった","","","","2022-10-25 23:12:16","2022-10-25 23:12:16","宇宙の果てのレストラン 銀河ヒッチハイクガイドシリーズ (河出文庫)","ダグラス・アダムス","河出書房新社","2005","電子書籍","298"
"1","B01JYUTHX2","","","","読み終わった","","","","2022-10-26 16:37:16","2022-10-26 16:37:16","殺人出産 (講談社文庫)","村田沙耶香","講談社","2016","電子書籍","151"
"1","B09MT5GQC4","","","","読み終わった","","","","2022-10-26 23:01:26","2022-10-26 23:01:26","暇と退屈の倫理学（新潮文庫）","國分功一郎","新潮社","2021","電子書籍","409"
"1","B07QCNCKFB","","","","読み終わった","","","","2022-10-31 22:31:42","2022-10-31 22:31:42","世界のへんな肉（新潮文庫）","白石あづさ","新潮社","2019","電子書籍","256"
